epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,6569.07,0.99309,0.46552,0.93071,0.98811,0.98781,0.99346,0.66773,1.09045,0.39385,0.84237,6.7e-05,6.7e-05,6.7e-05
112,6628.23,0.98427,0.4602,0.92938,0.98973,0.98796,0.99353,0.66844,1.08777,0.39333,0.84153,6.67e-05,6.67e-05,6.67e-05
113,6687.44,0.98435,0.45727,0.92985,0.98956,0.98786,0.99353,0.66936,1.08578,0.39257,0.84064,6.64e-05,6.64e-05,6.64e-05
114,6746.78,0.98232,0.45996,0.92895,0.98959,0.9878,0.99353,0.66953,1.08359,0.39179,0.84017,6.61e-05,6.61e-05,6.61e-05
115,6805.93,0.98068,0.45744,0.92674,0.98958,0.98786,0.9935,0.67035,1.08243,0.39029,0.83981,6.58e-05,6.58e-05,6.58e-05
116,6865,0.97567,0.45787,0.92685,0.98997,0.98766,0.9935,0.67084,1.07959,0.38988,0.83908,6.55e-05,6.55e-05,6.55e-05
117,6924.15,0.96302,0.45093,0.9254,0.99002,0.98785,0.99351,0.67119,1.07821,0.38883,0.83855,6.52e-05,6.52e-05,6.52e-05
118,6983.37,0.97228,0.45135,0.92867,0.98882,0.98887,0.99348,0.67223,1.07627,0.3886,0.83829,6.49e-05,6.49e-05,6.49e-05
119,7042.71,0.96477,0.4532,0.92675,0.98906,0.98874,0.99346,0.67279,1.07478,0.38706,0.83776,6.46e-05,6.46e-05,6.46e-05
120,7102.04,0.95996,0.45182,0.92278,0.98985,0.98803,0.99348,0.67314,1.07204,0.38584,0.83732,6.43e-05,6.43e-05,6.43e-05
121,7161.4,0.96344,0.45181,0.92468,0.98982,0.98808,0.99349,0.67349,1.07076,0.38563,0.83683,6.4e-05,6.4e-05,6.4e-05
122,7220.63,0.95901,0.45089,0.92191,0.98959,0.98819,0.9935,0.67428,1.0691,0.38532,0.8363,6.37e-05,6.37e-05,6.37e-05
123,7279.73,0.95913,0.44723,0.91845,0.98946,0.98853,0.9935,0.67452,1.06771,0.38504,0.83585,6.34e-05,6.34e-05,6.34e-05
124,7338.96,0.95684,0.44664,0.92391,0.98936,0.98905,0.99352,0.67505,1.06637,0.38374,0.83552,6.31e-05,6.31e-05,6.31e-05
125,7398.37,0.94518,0.44408,0.9184,0.9896,0.98931,0.99351,0.67549,1.06403,0.38375,0.83479,6.28e-05,6.28e-05,6.28e-05
126,7457.6,0.94014,0.44195,0.91945,0.98997,0.98921,0.99352,0.67567,1.06243,0.38277,0.83426,6.25e-05,6.25e-05,6.25e-05
127,7516.98,0.93751,0.4409,0.91639,0.98998,0.9898,0.99352,0.67607,1.06074,0.38252,0.83379,6.22e-05,6.22e-05,6.22e-05
128,7576.37,0.94013,0.44012,0.91572,0.98913,0.99036,0.99351,0.67688,1.05954,0.38232,0.83321,6.19e-05,6.19e-05,6.19e-05
129,7635.5,0.93359,0.43776,0.91135,0.98917,0.99014,0.99352,0.67748,1.05701,0.38153,0.83264,6.16e-05,6.16e-05,6.16e-05
130,7694.64,0.92904,0.43312,0.91246,0.9891,0.99005,0.99355,0.67786,1.05626,0.38172,0.83238,6.13e-05,6.13e-05,6.13e-05
131,7754.02,0.93174,0.4422,0.91581,0.98963,0.99001,0.99357,0.67908,1.05499,0.38087,0.83204,6.1e-05,6.1e-05,6.1e-05
